Driver,Year,Round,LapNumber,Time,Distance,Speed,nGear,Throttle,Brake,DRS,RPM
1,2024,1,39.0,0 days 00:00:00,0.002731708719863307,283.0750016,7,100.0,False,0,11262.8499968
1,2024,1,39.0,0 days 00:00:00.154000,12.195,285.0,7,100.0,False,0,11259.0
1,2024,1,39.0,0 days 00:00:00.232000,18.382242144801012,285.2785718857143,7,100.0,False,0,11285.185757257143
1,2024,1,39.0,0 days 00:00:00.434000,34.43944444444445,286.0,7,100.0,False,0,11353.0
1,2024,1,39.0,0 days 00:00:00.594000,47.195,287.0,7,100.0,False,0,11357.0
1,2024,1,39.0,0 days 00:00:00.612000,48.63479716704342,287.18000128,7,100.0,False,0,11361.41003136
1,2024,1,39.0,0 days 00:00:00.772000,61.47945905482928,288.78000128,7,100.0,False,0,11400.61003136
1,2024,1,39.0,0 days 00:00:00.794000,63.250555555555565,289.0,7,100.0,False,0,11406.0
1,2024,1,39.0,0 days 00:00:01.192000,95.4227974666201,290.8090914909091,7,100.0,False,0,11481.077296872727
1,2024,1,39.0,0 days 00:00:01.234000,98.81722222222223,291.0,7,100.0,False,0,11489.0
1,2024,1,39.0,0 days 00:00:01.352000,108.349159923264,291.0,7,100.0,False,0,11531.7750464
1,2024,1,39.0,0 days 00:00:01.394000,111.75055555555555,291.0,7,100.0,False,0,11547.0
1,2024,1,39.0,0 days 00:00:01.594000,128.02833333333334,293.0,7,100.0,False,0,11554.0
1,2024,1,39.0,0 days 00:00:01.692000,136.0066889925776,293.0,7,100.0,False,0,11284.98964864
1,2024,1,39.0,0 days 00:00:01.794000,144.3061111111111,293.0,7,100.0,False,0,11005.0
1,2024,1,39.0,0 days 00:00:01.892000,152.27827573732444,293.0,7,100.0,False,0,10725.291301333333
1,2024,1,39.0,0 days 00:00:02.034000,163.8394444444444,293.0,7,100.0,False,0,10320.0
1,2024,1,39.0,0 days 00:00:02.112000,170.20343740886085,293.4875008,7,100.0,False,0,10383.375104
1,2024,1,39.0,0 days 00:00:02.194000,176.9061111111111,294.0,8,100.0,False,0,10450.0
1,2024,1,39.0,0 days 00:00:02.354000,190.01722222222222,295.0,8,100.0,False,0,10530.0
1,2024,1,39.0,0 days 00:00:02.492000,201.3176103630364,295.0,8,100.0,False,0,10536.9000064
1,2024,1,39.0,0 days 00:00:02.652000,214.4315122944883,295.0,8,100.0,False,0,10544.9000064
1,2024,1,39.0,0 days 00:00:02.674000,216.23944444444442,295.0,8,100.0,False,0,10546.0
1,2024,1,39.0,0 days 00:00:03.033000,245.85694444444442,297.0,8,100.0,False,0,10592.0
1,2024,1,39.0,0 days 00:00:03.092000,250.72340095480246,297.0,8,100.0,False,0,10599.375008
1,2024,1,39.0,0 days 00:00:03.193000,259.0569444444444,297.0,8,100.0,False,0,10612.0
1,2024,1,39.0,0 days 00:00:03.433000,278.9236111111111,298.0,8,100.0,False,0,10680.0
1,2024,1,39.0,0 days 00:00:03.472000,282.1518827763357,298.0,8,100.0,False,0,10675.124992
1,2024,1,39.0,0 days 00:00:03.673000,298.79027777777776,298.0,8,100.0,False,0,10650.0
1,2024,1,39.0,0 days 00:00:03.692000,300.36542816434815,298.07916693333334,8,100.0,False,0,10651.9000064
1,2024,1,39.0,0 days 00:00:03.852000,313.64998996739644,298.7458336,8,100.0,False,0,10667.9000064
1,2024,1,39.0,0 days 00:00:03.913000,318.7236111111111,299.0,8,100.0,False,0,10674.0
1,2024,1,39.0,0 days 00:00:04.114000,335.4736111111111,300.0,8,100.0,False,0,10694.0
1,2024,1,39.0,0 days 00:00:04.152000,338.6449694304381,300.07307716923077,8,100.0,False,0,10697.361549784615
1,2024,1,39.0,0 days 00:00:04.372000,357.0328122239771,300.4961540923077,8,100.0,False,0,10716.823088246154
1,2024,1,39.0,0 days 00:00:04.592000,375.4388260100902,300.91923101538464,8,100.0,False,0,10736.284626707693
1,2024,1,39.0,0 days 00:00:04.634000,378.9513888888889,301.0,8,100.0,False,0,10740.0
1,2024,1,39.0,0 days 00:00:04.752000,388.8178700666699,301.0,8,100.0,False,0,10747.08000768
