Driver,DriverNumber,LapTime,LapNumber,Stint,Compound,TyreLife,Team,Year,Round,SessionType
VER,1,,1.0,1.0,SOFT,1.0,Red Bull Racing,2023,1,Q
VER,1,,2.0,2.0,SOFT,2.0,Red Bull Racing,2023,1,Q
VER,1,0 days 00:01:31.295000,3.0,2.0,SOFT,3.0,Red Bull Racing,2023,1,Q
VER,1,0 days 00:01:49.812000,4.0,2.0,SOFT,4.0,Red Bull Racing,2023,1,Q
VER,1,,5.0,3.0,SOFT,1.0,Red Bull Racing,2023,1,Q
VER,1,0 days 00:02:12.516000,6.0,3.0,SOFT,2.0,Red Bull Racing,2023,1,Q
VER,1,,7.0,4.0,SOFT,1.0,Red Bull Racing,2023,1,Q
VER,1,0 days 00:01:30.503000,8.0,4.0,SOFT,2.0,Red Bull Racing,2023,1,Q
VER,1,0 days 00:02:05.756000,9.0,4.0,SOFT,3.0,Red Bull Racing,2023,1,Q
VER,1,,10.0,5.0,SOFT,1.0,Red Bull Racing,2023,1,Q
VER,1,0 days 00:01:29.897000,11.0,5.0,SOFT,2.0,Red Bull Racing,2023,1,Q
VER,1,0 days 00:02:03.493000,12.0,5.0,SOFT,3.0,Red Bull Racing,2023,1,Q
VER,1,,13.0,6.0,SOFT,1.0,Red Bull Racing,2023,1,Q
VER,1,0 days 00:01:29.708000,14.0,6.0,SOFT,2.0,Red Bull Racing,2023,1,Q
VER,1,0 days 00:01:58.862000,15.0,6.0,SOFT,3.0,Red Bull Racing,2023,1,Q
PER,11,,1.0,1.0,SOFT,1.0,Red Bull Racing,2023,1,Q
PER,11,,2.0,2.0,SOFT,2.0,Red Bull Racing,2023,1,Q
PER,11,0 days 00:01:31.479000,3.0,2.0,SOFT,3.0,Red Bull Racing,2023,1,Q
PER,11,0 days 00:01:55.991000,4.0,2.0,SOFT,4.0,Red Bull Racing,2023,1,Q
PER,11,,5.0,3.0,SOFT,1.0,Red Bull Racing,2023,1,Q
PER,11,0 days 00:01:58.327000,6.0,3.0,SOFT,2.0,Red Bull Racing,2023,1,Q
PER,11,,7.0,4.0,SOFT,1.0,Red Bull Racing,2023,1,Q
