Metric_1,Metric_2,Correlation
Wins,Points,0.7493002146749005
Wins,YouTube_Subs_Growth,0.8087359309562127
Wins,Instagram_Engagement_Rate,0.7117684983977988
Wins,Twitter_Mentions,0.7252468523639846
Wins,Google_Search_Interest,0.7255857640682274
Wins,TV_Viewership,0.7289742642986711
Wins,Fan_Sentiment,0.8451936614348039
Podiums,Points,0.7887869596958677
Podiums,Excitement_Factor,0.7904617383537438
Podiums,YouTube_Subs_Growth,0.8098035001977132
Podiums,YouTube_Engagement_Rate,0.830503866950478
Podiums,Instagram_Followers_Growth,0.7664534054651807
Podiums,Instagram_Engagement_Rate,0.7603239661019751
Podiums,Twitter_Followers_Growth,0.7523777093426578
Podiums,Twitter_Mentions,0.8330477914769608
Podiums,Google_Search_Interest,0.8203765965195696
Podiums,TV_Viewership,0.835381703997333
Podiums,Fan_Sentiment,0.7311022377842873
Points,Excitement_Factor,0.8420303986280641
Points,YouTube_Subs_Growth,0.8446323102505602
Points,YouTube_Engagement_Rate,0.8557383079152141
Points,Instagram_Followers_Growth,0.7680635454260752
Points,Instagram_Engagement_Rate,0.863343813950796
Points,Twitter_Followers_Growth,0.7941392104202075
Points,Twitter_Mentions,0.9437538121246264
Points,Google_Search_Interest,0.9601656727802387
Points,TV_Viewership,0.9726845119627571
Points,Fan_Sentiment,0.7171270002010407
Excitement_Factor,YouTube_Subs_Growth,0.8940492171418719
Excitement_Factor,YouTube_Engagement_Rate,0.9531641663150592
Excitement_Factor,Instagram_Followers_Growth,0.9088700013086053
Excitement_Factor,Instagram_Engagement_Rate,0.9194385785405841
Excitement_Factor,Twitter_Followers_Growth,0.9241620734866047
Excitement_Factor,Twitter_Mentions,0.9648930330399014
Excitement_Factor,Google_Search_Interest,0.9085225417277468
Excitement_Factor,TV_Viewership,0.9209294133468623
Excitement_Factor,Fan_Sentiment,0.7080604604676182
YouTube_Subs_Growth,YouTube_Engagement_Rate,0.9163471547953952
YouTube_Subs_Growth,Instagram_Followers_Growth,0.9045826010975493
YouTube_Subs_Growth,Instagram_Engagement_Rate,0.8885765659891195
YouTube_Subs_Growth,Twitter_Followers_Growth,0.9166947423744884
YouTube_Subs_Growth,Twitter_Mentions,0.9265321087668297
YouTube_Subs_Growth,Google_Search_Interest,0.8803439122206891
YouTube_Subs_Growth,TV_Viewership,0.8981580589536895
YouTube_Subs_Growth,Fan_Sentiment,0.8701050835690736
YouTube_Engagement_Rate,Instagram_Followers_Growth,0.8871564178136463
YouTube_Engagement_Rate,Instagram_Engagement_Rate,0.8905214426037398
YouTube_Engagement_Rate,Twitter_Followers_Growth,0.8908634798793046
YouTube_Engagement_Rate,Twitter_Mentions,0.9509905159792852
YouTube_Engagement_Rate,Google_Search_Interest,0.901977228893757
YouTube_Engagement_Rate,TV_Viewership,0.9119249745657624
YouTube_Engagement_Rate,Fan_Sentiment,0.7634568317595651
Instagram_Followers_Growth,Instagram_Engagement_Rate,0.851653979818681
Instagram_Followers_Growth,Twitter_Followers_Growth,0.9415635926327299
Instagram_Followers_Growth,Twitter_Mentions,0.8807118690353571
Instagram_Followers_Growth,Google_Search_Interest,0.8217357856007148
Instagram_Followers_Growth,TV_Viewership,0.842261583321852
Instagram_Followers_Growth,Fan_Sentiment,0.7648736175662729
Instagram_Engagement_Rate,Twitter_Followers_Growth,0.8742056891735809
Instagram_Engagement_Rate,Twitter_Mentions,0.9401191022995122
Instagram_Engagement_Rate,Google_Search_Interest,0.895841793752351
Instagram_Engagement_Rate,TV_Viewership,0.9170910332864447
Instagram_Engagement_Rate,Fan_Sentiment,0.7808934598917084
Twitter_Followers_Growth,Twitter_Mentions,0.9025479280794394
Twitter_Followers_Growth,Google_Search_Interest,0.8495393489316669
Twitter_Followers_Growth,TV_Viewership,0.8715192775100786
Twitter_Followers_Growth,Fan_Sentiment,0.7390113934596948
Twitter_Mentions,Google_Search_Interest,0.9744883403418908
Twitter_Mentions,TV_Viewership,0.9871950867910071
Twitter_Mentions,Fan_Sentiment,0.7747729092188351
Google_Search_Interest,TV_Viewership,0.9815508743522883
Google_Search_Interest,Fan_Sentiment,0.7391966436183702
TV_Viewership,Fan_Sentiment,0.7629225879528766
