Year,Round,EventName,Driver,DriverNumber,Team,LapNumber,LapNumberStr,LapTime,LapTimeStr,Sector1Time,Sector2Time,Sector3Time,Sector1TimeStr,Sector2TimeStr,Sector3TimeStr,SpeedI1,SpeedI2,SpeedFL,SpeedST,Position,PositionStr,PitInTime,PitOutTime,IsPitLap,Compound,TyreLife,Stint,IsNewTyre,TrackStatus,IsPersonalBest,IsAccurate,Deleted,Time,LapStartTime,PitDuration,PositionChange,CumulativePositionChange
2024,1,Bahrain Grand Prix,ALB,23,Williams,1.0,Lap 1.0,103.888,0 days 00:01:43.888000,,44.007,24.378,,0 days 00:00:44.007000,0 days 00:00:24.378000,215.0,245.0,280.0,260.0,11.0,P11.0,,,False,SOFT,1.0,1.0,True,12,False,False,False,0 days 01:01:44.093000,0 days 00:59:59.911000,,,
2024,1,Bahrain Grand Prix,ALB,23,Williams,2.0,Lap 2.0,98.826,0 days 00:01:38.826000,31.419,43.106,24.301,0 days 00:00:31.419000,0 days 00:00:43.106000,0 days 00:00:24.301000,229.0,245.0,286.0,295.0,11.0,P11.0,,,False,SOFT,2.0,1.0,False,1,True,True,False,0 days 01:03:22.919000,0 days 01:01:44.093000,,-0.0,0.0
2024,1,Bahrain Grand Prix,ALB,23,Williams,3.0,Lap 3.0,98.507,0 days 00:01:38.507000,31.002,43.081,24.424,0 days 00:00:31.002000,0 days 00:00:43.081000,0 days 00:00:24.424000,,244.0,286.0,312.0,11.0,P11.0,,,False,SOFT,3.0,1.0,False,1,True,True,False,0 days 01:05:01.426000,0 days 01:03:22.919000,,-0.0,0.0
2024,1,Bahrain Grand Prix,ALB,23,Williams,4.0,Lap 4.0,98.422,0 days 00:01:38.422000,31.023,43.007,24.392,0 days 00:00:31.023000,0 days 00:00:43.007000,0 days 00:00:24.392000,226.0,244.0,284.0,319.0,11.0,P11.0,,,False,SOFT,4.0,1.0,False,1,True,True,False,0 days 01:06:39.848000,0 days 01:05:01.426000,,-0.0,0.0
2024,1,Bahrain Grand Prix,ALB,23,Williams,5.0,Lap 5.0,98.509,0 days 00:01:38.509000,31.049,43.027,24.433,0 days 00:00:31.049000,0 days 00:00:43.027000,0 days 00:00:24.433000,228.0,245.0,284.0,310.0,11.0,P11.0,,,False,SOFT,5.0,1.0,False,1,False,True,False,0 days 01:08:18.357000,0 days 01:06:39.848000,,-0.0,0.0
2024,1,Bahrain Grand Prix,ALB,23,Williams,6.0,Lap 6.0,98.575,0 days 00:01:38.575000,31.034,43.141,24.4,0 days 00:00:31.034000,0 days 00:00:43.141000,0 days 00:00:24.400000,227.0,238.0,280.0,316.0,11.0,P11.0,,,False,SOFT,6.0,1.0,False,1,False,True,False,0 days 01:09:56.932000,0 days 01:08:18.357000,,-0.0,0.0
2024,1,Bahrain Grand Prix,ALB,23,Williams,7.0,Lap 7.0,98.971,0 days 00:01:38.971000,31.498,43.186,24.287,0 days 00:00:31.498000,0 days 00:00:43.186000,0 days 00:00:24.287000,228.0,243.0,278.0,302.0,11.0,P11.0,,,False,SOFT,7.0,1.0,False,1,False,True,False,0 days 01:11:35.903000,0 days 01:09:56.932000,,-0.0,0.0
2024,1,Bahrain Grand Prix,ALB,23,Williams,8.0,Lap 8.0,98.66,0 days 00:01:38.660000,31.493,42.899,24.268,0 days 00:00:31.493000,0 days 00:00:42.899000,0 days 00:00:24.268000,232.0,245.0,278.0,293.0,11.0,P11.0,,,False,SOFT,8.0,1.0,False,1,False,True,False,0 days 01:13:14.563000,0 days 01:11:35.903000,,-0.0,0.0
2024,1,Bahrain Grand Prix,ALB,23,Williams,9.0,Lap 9.0,98.652,0 days 00:01:38.652000,31.458,42.976,24.218,0 days 00:00:31.458000,0 days 00:00:42.976000,0 days 00:00:24.218000,,244.0,279.0,298.0,11.0,P11.0,,,False,SOFT,9.0,1.0,False,1,False,True,False,0 days 01:14:53.215000,0 days 01:13:14.563000,,-0.0,0.0
2024,1,Bahrain Grand Prix,ALB,23,Williams,10.0,Lap 10.0,98.952,0 days 00:01:38.952000,31.624,42.955,24.373,0 days 00:00:31.624000,0 days 00:00:42.955000,0 days 00:00:24.373000,226.0,248.0,278.0,295.0,11.0,P11.0,,,False,SOFT,10.0,1.0,False,12,False,True,False,0 days 01:16:32.167000,0 days 01:14:53.215000,,-0.0,0.0
